,Candidate_Ref,DOJ_Extended,Duration_to_accept_offer,Notice_Period,Offered_Band,Percent_hike_expected_in_CTC,Percent_hike_offered_in_CTC,Percent_difference_CTC,Joining_Bonus,Candidate_relocate_actual,Gender,Candidate_Source,Rex_in_Yrs,Location_ID,Postal_Code,Age,LOB_Id,Domicile_ID,Domicile_Name,Date_of_Interview,Status,LOB,Location,Region_ID,Region_Name
58,3537793,No,17,30,E1,53.85,34.62,-19.230000000000004,No,No,Male,Direct,2,L001,201301,34.0,1,D3,Chandigarh,2013-05-17,Joined,ERS,Noida,R1,North
59,3599823,Yes,11,30,E1,25.0,45.83,20.83,No,No,Male,Agency,2,L001,201301,34.0,1,D3,Chandigarh,2013-03-24,Joined,ERS,Noida,R1,North
60,3618684,No,7,30,E1,42.86,42.86,0.0,No,No,Female,Direct,2,L001,201301,34.0,1,D3,Chandigarh,2013-04-22,Joined,ERS,Noida,R1,North
61,2175237,No,7,30,E1,221.43,164.29,-57.140000000000015,No,No,Male,Direct,2,L001,201301,34.0,1,D21,Tripura,2013-05-23,Joined,ERS,Noida,R1,North
62,2183879,No,9,45,E1,33.33,1.11,-32.22,No,No,Male,Direct,2,L001,201301,26.0,1,D21,Tripura,2013-02-12,Joined,ERS,Noida,R1,North
63,2217251,Yes,31,75,E1,33.33,52.22,18.89,No,No,Male,Direct,4,L001,201301,26.0,1,D21,Tripura,2013-04-15,Not Joined,ERS,Noida,R1,North
64,2282504,Yes,118,120,E2,15.38,30.0,14.62,No,No,Male,Direct,6,L001,201301,35.0,1,D21,Tripura,2013-05-20,Not Joined,ERS,Noida,R1,North
65,2463902,Yes,5,60,E2,22.22,88.89,66.67,No,No,Female,Direct,6,L001,201301,37.0,1,D21,Tripura,2014-02-11,Joined,ERS,Noida,R1,North
66,2578992,Yes,47,60,E2,31.82,4.55,-27.27,No,Yes,Male,Employee Referral,8,L001,201301,32.0,1,D21,Tripura,2013-05-31,Joined,ERS,Noida,R1,North
67,2780364,Yes,19,75,E1,50.0,37.5,-12.5,No,Yes,Female,Agency,2,L001,201301,25.0,1,D21,Tripura,2013-02-17,Joined,ERS,Noida,R1,North
68,3262461,No,22,30,E1,33.33,31.11,-2.219999999999999,No,Yes,Male,Agency,3,L001,201301,26.0,1,D21,Tripura,2013-09-29,Joined,ERS,Noida,R1,North
69,3347573,No,4,60,E1,55.56,55.56,0.0,No,No,Female,Direct,4,L001,201301,34.0,1,D21,Tripura,2013-08-16,Joined,ERS,Noida,R1,North
70,3393405,No,1,30,E1,81.82,93.18,11.360000000000014,No,No,Male,Direct,1,L001,201301,34.0,1,D21,Tripura,2014-07-04,Not Joined,ERS,Noida,R1,North
71,3399675,Yes,5,60,E1,90.48,58.73,-31.750000000000007,No,No,Male,Agency,3,L001,201301,34.0,1,D21,Tripura,2014-07-16,Not Joined,ERS,Noida,R1,North
72,3612211,No,1,0,E2,6.25,28.13,21.88,Yes,No,Female,Employee Referral,9,L001,201301,34.0,1,D21,Tripura,2013-04-11,Joined,ERS,Noida,R1,North
73,3664439,Yes,22,0,E1,12.49,22.95,10.46,No,No,Female,Direct,3,L001,201301,34.0,1,D21,Tripura,2013-06-17,Joined,ERS,Noida,R1,North
74,2206061,Yes,18,30,E1,38.89,52.78,13.89,No,Yes,Male,Employee Referral,3,L001,201301,26.0,1,D24,West Bengal,2013-02-17,Joined,ERS,Noida,R1,North
75,2218251,No,4,60,E1,25.0,10.42,-14.58,No,No,Female,Agency,4,L001,201301,28.0,1,D24,West Bengal,2013-04-22,Not Joined,ERS,Noida,R1,North
76,2322764,No,1,30,E1,38.3,11.7,-26.6,No,No,Male,Agency,3,L001,201301,26.0,1,D24,West Bengal,2013-08-22,Not Joined,ERS,Noida,R1,North
77,2361236,No,0,30,E2,33.33,27.78,-5.549999999999997,No,No,Male,Employee Referral,9,L001,201301,39.0,1,D24,West Bengal,2013-09-30,Joined,ERS,Noida,R1,North
78,2460590,No,3,60,E2,9.09,90.91,81.82,No,No,Male,Agency,6,L001,201301,30.0,1,D24,West Bengal,2014-01-30,Not Joined,ERS,Noida,R1,North
79,2478677,No,2,30,E1,22.22,15.56,-6.659999999999998,No,No,Male,Agency,3,L001,201301,27.0,1,D24,West Bengal,2014-01-16,Joined,ERS,Noida,R1,North
80,2556407,No,4,45,E1,40.63,50.0,9.369999999999996,No,No,Male,Direct,3,L001,201301,26.0,1,D24,West Bengal,2013-05-14,Not Joined,ERS,Noida,R1,North
81,2598166,Yes,55,90,E2,25.0,8.75,-16.25,No,No,Male,Employee Referral,9,L001,201301,36.0,1,D24,West Bengal,2014-06-12,Joined,ERS,Noida,R1,North
82,2636727,Yes,70,90,E1,56.86,42.16,-14.700000000000005,No,Yes,Female,Direct,4,L001,201301,27.0,1,D24,West Bengal,2013-02-07,Joined,ERS,Noida,R1,North
83,3239459,No,63,45,E1,33.33,33.33,0.0,No,No,Female,Agency,3,L001,201301,29.0,1,D24,West Bengal,2013-09-22,Joined,ERS,Noida,R1,North
84,3256713,Yes,5,60,E1,33.33,22.22,-11.11,No,Yes,Female,Agency,2,L001,201301,25.0,1,D24,West Bengal,2013-12-06,Joined,ERS,Noida,R1,North
85,3270949,No,33,60,E1,33.33,22.22,-11.11,No,No,Male,Agency,2,L001,201301,25.0,1,D24,West Bengal,2013-11-22,Joined,ERS,Noida,R1,North
86,3283728,No,4,60,E1,20.0,20.0,0.0,No,No,Male,Agency,3,L001,201301,25.0,1,D24,West Bengal,2013-12-23,Joined,ERS,Noida,R1,North
87,3327673,Yes,110,90,E2,50.0,43.33,-6.670000000000002,No,Yes,Male,Direct,6,L001,201301,34.0,1,D24,West Bengal,2014-01-25,Joined,ERS,Noida,R1,North
88,3333572,Yes,12,30,E1,50.0,10.0,-40.0,Yes,Yes,Male,Agency,2,L001,201301,34.0,1,D24,West Bengal,2014-02-08,Joined,ERS,Noida,R1,North
89,3377296,No,1,30,E1,44.44,33.33,-11.11,No,No,Male,Direct,5,L001,201301,34.0,1,D24,West Bengal,2013-11-17,Joined,ERS,Noida,R1,North
90,3378379,Yes,2,60,E1,25.0,13.75,-11.25,No,No,Male,Agency,3,L001,201301,34.0,1,D24,West Bengal,2013-11-25,Not Joined,ERS,Noida,R1,North
91,3411248,No,40,30,E1,57.14,68.57,11.429999999999993,No,Yes,Male,Agency,2,L001,201301,34.0,1,D24,West Bengal,2014-04-28,Joined,ERS,Noida,R1,North
92,3727613,Yes,2,30,E1,40.0,30.0,-10.0,No,No,Male,Agency,4,L001,201301,34.0,1,D24,West Bengal,2013-07-27,Joined,ERS,Noida,R1,North
93,2780669,Yes,29,60,E3,33.33,266.67,233.34000000000003,No,No,Male,Agency,9,L001,201301,32.0,1,D23,Uttarkhand,2013-05-11,Not Joined,ERS,Noida,R1,North
94,2221002,No,1,0,E3,25.0,3.13,-21.87,No,Yes,Male,Direct,12,L001,201301,36.0,1,D23,Uttarkhand,2013-05-05,Joined,ERS,Noida,R1,North
95,2383039,Yes,2,45,E1,20.0,24.0,4.0,No,No,Female,Employee Referral,1,L001,201301,25.0,1,D23,Uttarkhand,2013-10-29,Joined,ERS,Noida,R1,North
96,2544566,No,2,30,E1,22.22,20.0,-2.219999999999999,No,No,Male,Employee Referral,3,L001,201301,28.0,1,D23,Uttarkhand,2014-01-05,Joined,ERS,Noida,R1,North
97,2556369,No,2,60,E1,33.33,30.0,-3.3299999999999983,No,No,Male,Direct,2,L001,201301,25.0,1,D23,Uttarkhand,2013-05-03,Joined,ERS,Noida,R1,North
98,2564898,Yes,18,60,E1,22.22,122.22,100.0,No,No,Female,Agency,5,L001,201301,28.0,1,D23,Uttarkhand,2013-09-28,Not Joined,ERS,Noida,R1,North
99,2565104,Yes,62,60,E2,46.15,43.08,-3.0700000000000003,No,No,Male,Agency,6,L001,201301,32.0,1,D23,Uttarkhand,2013-10-21,Not Joined,ERS,Noida,R1,North
100,2604073,No,3,30,E1,18.18,5.45,-12.73,No,No,Female,Agency,4,L001,201301,28.0,1,D23,Uttarkhand,2014-07-30,Joined,ERS,Noida,R1,North
101,2828580,No,3,45,E1,22.22,0.0,-22.22,No,No,Female,Agency,2,L001,201301,27.0,1,D23,Uttarkhand,2013-03-26,Joined,ERS,Noida,R1,North
102,2855621,Yes,3,60,E1,33.33,22.22,-11.11,No,No,Female,Agency,3,L001,201301,26.0,1,D23,Uttarkhand,2013-05-21,Not Joined,ERS,Noida,R1,North
103,2926989,Yes,84,75,E1,33.33,33.33,0.0,No,No,Female,Agency,3,L001,201301,27.0,1,D23,Uttarkhand,2013-07-09,Joined,ERS,Noida,R1,North
104,3407969,No,9,0,E1,17.65,13.24,-4.409999999999998,No,No,Male,Direct,6,L001,201301,34.0,1,D23,Uttarkhand,2014-04-27,Joined,ERS,Noida,R1,North
105,3443472,Yes,4,60,E2,23.29,33.56,10.270000000000003,No,No,Male,Agency,6,L001,201301,34.0,1,D23,Uttarkhand,2013-02-11,Joined,ERS,Noida,R1,North
106,3577521,Yes,18,0,E1,55.56,33.33,-22.230000000000004,No,No,Male,Employee Referral,4,L001,201301,34.0,1,D23,Uttarkhand,2013-06-02,Joined,ERS,Noida,R1,North
107,3608107,No,17,30,E1,86.57,49.25,-37.31999999999999,No,Yes,Male,Employee Referral,3,L001,201301,34.0,1,D23,Uttarkhand,2013-04-07,Joined,ERS,Noida,R1,North
108,2185479,Yes,35,60,E2,22.86,22.86,0.0,No,No,Male,Employee Referral,7,L001,201301,35.0,1,D5,Delhi,2013-02-17,Joined,ERS,Noida,R1,North
109,2212607,No,0,0,E1,16.67,16.67,0.0,No,Yes,Female,Direct,4,L001,201301,30.0,1,D5,Delhi,2013-03-24,Joined,ERS,Noida,R1,North
110,2235336,No,5,75,E1,33.33,44.44,11.11,Yes,No,Male,Employee Referral,3,L001,201301,26.0,1,D5,Delhi,2013-03-24,Not Joined,ERS,Noida,R1,North
111,2431523,Yes,7,60,E1,22.22,16.67,-5.549999999999997,No,No,Male,Agency,3,L001,201301,29.0,1,D5,Delhi,2013-12-10,Joined,ERS,Noida,R1,North
112,2452252,Yes,49,60,E1,25.0,20.83,-4.170000000000002,No,No,Male,Agency,4,L001,201301,27.0,1,D5,Delhi,2014-01-19,Not Joined,ERS,Noida,R1,North
113,2478704,Yes,17,30,E1,5.0,35.71,30.71,No,No,Male,Agency,3,L001,201301,28.0,1,D5,Delhi,2014-01-17,Joined,ERS,Noida,R1,North
114,2613491,Yes,28,30,E1,18.18,20.0,1.8200000000000005,No,No,Male,Agency,3,L001,201301,25.0,1,D5,Delhi,2013-02-16,Joined,ERS,Noida,R1,North
115,2794645,Yes,27,30,E2,40.0,40.0,0.0,No,Yes,Male,Agency,6,L001,201301,29.0,1,D5,Delhi,2013-03-31,Joined,ERS,Noida,R1,North
116,2807646,No,27,30,E1,21.74,19.57,-2.169999999999998,No,No,Male,Direct,5,L001,201301,29.0,1,D5,Delhi,2013-04-20,Joined,ERS,Noida,R1,North
117,3218302,No,12,30,E2,33.33,122.22,88.89,No,No,Male,Agency,7,L001,201301,32.0,1,D5,Delhi,2013-10-16,Joined,ERS,Noida,R1,North
118,3243067,Yes,35,60,E2,33.33,96.67,63.34,No,No,Male,Agency,6,L001,201301,32.0,1,D5,Delhi,2013-09-24,Joined,ERS,Noida,R1,North
119,3266829,No,24,90,E2,30.0,20.0,-10.0,No,No,Male,Agency,8,L001,201301,36.0,1,D5,Delhi,2013-10-29,Not Joined,ERS,Noida,R1,North
120,3374718,Yes,14,45,E2,30.0,2.5,-27.5,Yes,No,Male,Agency,7,L001,201301,34.0,1,D5,Delhi,2013-10-28,Joined,ERS,Noida,R1,North
121,3524562,Yes,10,60,E1,58.45,25.0,-33.45,No,No,Male,Direct,2,L001,201301,34.0,1,D5,Delhi,2013-04-27,Joined,ERS,Noida,R1,North
122,3587458,Yes,1,30,E2,5.21,5.21,0.0,No,No,Male,Employee Referral,8,L001,201301,34.0,1,D5,Delhi,2013-06-02,Joined,ERS,Noida,R1,North
123,3632340,No,5,0,E1,24.35,16.79,-7.560000000000002,No,No,Male,Agency,2,L001,201301,25.0,1,D13,Madhya Pradesh,2013-01-08,Joined,ERS,Noida,R1,North
124,2149945,Yes,1,0,E2,40.0,50.0,10.0,No,Yes,Female,Direct,8,L001,201301,34.0,1,D13,Madhya Pradesh,2014-04-08,Joined,ERS,Noida,R1,North
125,2569376,Yes,1,45,E1,4.76,7.14,2.38,No,No,Male,Direct,6,L001,201301,33.0,1,D13,Madhya Pradesh,2013-12-21,Joined,ERS,Noida,R1,North
126,2590754,Yes,33,60,E2,22.22,177.78,155.56,No,Yes,Male,Agency,6,L001,201301,31.0,1,D13,Madhya Pradesh,2014-06-29,Joined,ERS,Noida,R1,North
127,2604125,No,13,60,E1,18.18,25.45,7.27,No,No,Female,Agency,5,L001,201301,29.0,1,D13,Madhya Pradesh,2013-01-02,Not Joined,ERS,Noida,R1,North
128,2807594,Yes,5,30,E1,50.0,50.0,0.0,No,No,Female,Direct,5,L001,201301,28.0,1,D13,Madhya Pradesh,2013-04-19,Joined,ERS,Noida,R1,North
129,2839829,No,6,45,E1,33.33,1.11,-32.22,No,No,Male,Agency,3,L001,201301,25.0,1,D13,Madhya Pradesh,2013-04-25,Joined,ERS,Noida,R1,North
130,3245925,No,16,30,E1,185.71,209.52,23.81,No,No,Female,Direct,1,L001,201301,24.0,1,D13,Madhya Pradesh,2013-10-01,Joined,ERS,Noida,R1,North
131,3270941,Yes,6,30,E1,33.33,6.67,-26.66,No,No,Male,Agency,3,L001,201301,27.0,1,D13,Madhya Pradesh,2013-11-22,Joined,ERS,Noida,R1,North
132,3359891,Yes,3,30,E1,65.09,53.3,-11.790000000000006,No,Yes,Male,Direct,4,L001,201301,34.0,1,D13,Madhya Pradesh,2013-08-31,Joined,ERS,Noida,R1,North
133,2156827,Yes,6,45,E1,33.33,0.0,-33.33,No,No,Female,Agency,2,L001,201301,27.0,1,D4,Chhattisgarh,2014-05-30,Joined,ERS,Noida,R1,North
134,2200307,No,44,60,E1,30.21,30.21,0.0,No,Yes,Male,Direct,3,L001,201301,26.0,1,D4,Chhattisgarh,2013-02-07,Joined,ERS,Noida,R1,North
135,2217246,No,5,0,E1,22.81,22.81,0.0,No,Yes,Male,Direct,3,L001,201301,26.0,1,D4,Chhattisgarh,2013-04-14,Joined,ERS,Noida,R1,North
136,2247238,No,1,0,E1,65.78,28.72,-37.06,No,Yes,Male,Direct,5,L001,201301,30.0,1,D4,Chhattisgarh,2013-04-04,Joined,ERS,Noida,R1,North
137,2286029,Yes,3,45,E2,18.18,41.82,23.64,No,Yes,Male,Employee Referral,7,L001,201301,33.0,1,D4,Chhattisgarh,2013-07-05,Joined,ERS,Noida,R1,North
138,2382677,Yes,3,60,E1,33.33,33.33,0.0,No,Yes,Female,Agency,3,L001,201301,27.0,1,D4,Chhattisgarh,2013-10-25,Joined,ERS,Noida,R1,North
139,2604103,No,6,45,E1,22.22,22.22,0.0,No,No,Male,Agency,4,L001,201301,31.0,1,D4,Chhattisgarh,2014-08-04,Not Joined,ERS,Noida,R1,North
140,2635174,Yes,110,60,E2,33.33,116.67,83.34,No,No,Male,Agency,7,L001,201301,60.0,1,D4,Chhattisgarh,2013-01-23,Not Joined,ERS,Noida,R1,North
141,2635532,No,2,30,E1,18.18,45.45,27.270000000000003,No,No,Male,Employee Referral,2,L001,201301,28.0,1,D4,Chhattisgarh,2013-01-29,Joined,ERS,Noida,R1,North
142,3235198,Yes,43,60,E1,78.57,60.71,-17.859999999999992,No,Yes,Male,Agency,3,L001,201301,26.0,1,D4,Chhattisgarh,2013-09-14,Joined,ERS,Noida,R1,North
143,3334125,No,12,45,E1,37.5,47.5,10.0,No,No,Male,Agency,3,L001,201301,34.0,1,D4,Chhattisgarh,2014-02-16,Not Joined,ERS,Noida,R1,North
144,3434355,Yes,16,30,E1,33.33,28.89,-4.439999999999998,No,No,Male,Employee Referral,4,L001,201301,34.0,1,D4,Chhattisgarh,2013-01-22,Joined,ERS,Noida,R1,North
145,2214818,Yes,1,60,E2,22.22,106.67,84.45,No,No,Male,Employee Referral,6,L001,201301,29.0,1,D7,Gujarat,2013-04-01,Joined,ERS,Noida,R1,North
146,2286861,Yes,1,30,E1,5.42,5.42,0.0,No,No,Male,Direct,3,L001,201301,29.0,1,D7,Gujarat,2013-07-13,Joined,ERS,Noida,R1,North
147,2318388,Yes,1,30,E1,50.0,22.0,-28.0,No,No,Male,Agency,4,L001,201301,27.0,1,D7,Gujarat,2013-08-16,Not Joined,ERS,Noida,R1,North
148,2341377,No,44,60,E2,28.57,20.0,-8.57,No,No,Male,Agency,6,L001,201301,36.0,1,D7,Gujarat,2013-06-26,Joined,ERS,Noida,R1,North
149,2483111,Yes,29,60,E1,85.19,66.67,-18.52,No,No,Male,Direct,3,L001,201301,26.0,1,D7,Gujarat,2014-01-26,Joined,ERS,Noida,R1,North
